Acres_burned,Fire_cause,FireDiscoveryDateTime,FireOutDateTime,IncidentName,Latitude,Longitude,County,Country,State,Fire_duration,Month,Month_name
3,Lightning,2021/06/16 15:54:00+00,2021/07/09 19:11:00+00,Pole Knoll ,34.04561,-109.4809,Apache,US,AZ,23,6,Jun
2,Other Human Cause,2021/07/08 22:39:00+00,2021/07/16 17:00:00+00,Stine,37.508333,-114.582,Lincoln,US,NV,8,7,Jul
93,Cause not found,2021/07/07 13:55:30+00,2021/07/21 05:00:00+00, Winniemuck,47.71504,-115.3841,Sanders,US,MT,14,7,Jul
3,Cause not found,2021/07/07 23:02:00+00,2021/08/11 19:44:59+00,Lightning Point,46.73769,-115.9182,Clearwater,US,ID,35,7,Jul
1,Lightning,2021/07/09 21:39:00+00,2021/07/11 20:50:00+00,MEADOW SPRINGS,41.52607,-109.8564,Sweetwater,US,WY,2,7,Jul
734,Lightning,2021/07/10 01:23:00+00,2021/07/26 00:59:59+00,Cedar Basin ,34.64848,-113.4671,Mohave,US,AZ,16,7,Jul
9,Lightning,2021/07/10 01:46:00+00,2021/08/02 21:58:00+00,LYNCH,43.64318,-104.954,Weston,US,WY,24,7,Jul
10,Other Human Cause,2021/07/10 15:35:09+00,2021/07/11 02:32:00+00,MM 32,43.90341,-105.7591,Campbell,US,WY,0,7,Jul
0,Other Human Cause,2021/07/05 22:53:17+00,2021/07/10 21:14:59+00,Conn,48.35612,-114.2633,Flathead,US,MT,5,7,Jul
9175,Lightning,2021/07/10 15:56:00+00,2021/07/29 16:50:00+00,Snap Point,36.20644,-113.7944,Mohave,US,AZ,19,7,Jul
1,Lightning,2021/07/10 22:28:59+00,2021/08/02 21:17:59+00,BRITANIA,42.14937,-105.3098,Albany,US,WY,23,7,Jul
8,Lightning,2021/07/07 15:17:02+00,2021/09/20 18:01:59+00,Quinns ,47.32935,-114.7896,Sanders,US,MT,75,7,Jul
3,Lightning,2021/07/07 15:56:36+00,2021/09/20 18:01:59+00,Sheep Creek,47.34141,-114.8036,Sanders,US,MT,75,7,Jul
19,Lightning,2021/07/07 20:22:00+00,2021/08/13 21:40:00+00,Sunset,47.1996,-115.1711,Mineral,US,MT,37,7,Jul
2148,Lightning,2021/07/09 00:04:00+00,2021/07/26 17:00:00+00,Bear,34.04455,-111.5281,Yavapai,US,AZ,18,7,Jul
0,Lightning,2021/07/10 01:40:00+00,2021/08/03 14:00:00+00,Smith Ridge,45.8126,-104.5594,Carter,US,MT,24,7,Jul
276,Lightning,2021/07/09 22:49:00+00,2021/08/11 21:49:59+00,POE MOUNTAIN,41.80418,-105.3009,Albany,US,WY,33,7,Jul
5,Debris/Open Burning,2021/04/10 20:22:00+00,2021/04/27 17:00:00+00,Praine Creek,45.809467,-113.962067,Ravalli,US,MT,17,4,Apr
13000,Cause not found,2021/07/10 23:44:00+00,2021/07/15 18:59:59+00,BURBANK,46.74988,-120.3899,Kittitas,US,WA,5,7,Jul
30,Cause not found,2021/07/09 23:47:44+00,2021/07/15 02:00:00+00,Top,33.41548,-111.0283,Gila,US,AZ,5,7,Jul
25,Equipment,2021/07/11 19:47:00+00,2021/07/18 22:23:00+00,NEVA LAKE,47.26792,-119.5549,Grant,US,WA,7,7,Jul
1115,Lightning,2021/07/11 03:20:59+00,2021/07/26 23:29:59+00,Ocotillo,33.90442,-111.5851,Maricopa,US,AZ,16,7,Jul
3,Firearms/Weapons,2021/06/20 19:34:00+00,2021/07/09 18:59:59+00,Mead,39.666783,-110.767583,Carbon,US,UT,19,6,Jun
1,Lightning,2021/07/10 20:52:07+00,2021/07/14 19:08:00+00,Deer Creek ,44.65698,-104.4081,Crook,US,WY,4,7,Jul
3,Cause not found,2021/07/10 17:03:00+00,2021/07/18 20:09:00+00,Mona School CA,44.80127,-104.3864,Crook,US,WY,8,7,Jul
0,Lightning,2021/07/07 21:37:02+00,2021/07/15 19:38:18+00,Fremont Lake ,38.24942,-119.5446,Mono,US,CA,8,7,Jul
48,Cause not found,2021/07/12 01:22:14+00,2021/08/01 19:40:00+00,Buzzard,34.42291,-112.5875,Yavapai,US,AZ,21,7,Jul
1632,Equipment,2021/07/08 21:49:59+00,2021/08/03 14:00:00+00,Brackett,47.0734,-105.5049,Prairie,US,MT,26,7,Jul
0,Lightning,2021/07/09 13:47:00+00,2021/07/12 19:12:59+00,Middle Coulee,47.908683,-109.05275,Blaine,US,MT,3,7,Jul
1,Equipment,2021/07/09 21:33:59+00,2021/07/20 18:59:59+00,South Steens,42.74114,-118.7064,Harney,US,OR,11,7,Jul
88,Lightning,2021/07/08 17:13:00+00,2021/07/17 19:57:00+00,Snake Point,47.944267,-109.163033,Blaine,US,MT,9,7,Jul
10,Lightning,2021/07/09 23:26:00+00,2021/07/18 02:29:59+00,Mud 2,38.82333,-119.7476,Douglas,US,NV,8,7,Jul
75,Equipment,2021/07/11 22:25:00+00,2021/07/24 02:00:00+00,Bridge,42.18098,-113.3458,Cassia,US,ID,12,7,Jul
7,Undetermined,2021/07/10 21:57:00+00,2021/08/08 20:34:00+00,Cross,42.88518,-121.652,Klamath,US,OR,29,7,Jul
0,Equipment,2021/07/11 19:53:09+00,2021/07/17 23:00:00+00,Bear Trail,48.33042,-114.3333,Flathead,US,MT,6,7,Jul
2,Equipment,2021/07/11 16:11:00+00,2021/07/16 02:00:00+00,Caddy Canyon,42.80116,-112.2765,Bannock,US,ID,4,7,Jul
2,Lightning,2021/07/08 01:01:00+00,2021/08/03 14:00:00+00,Bauer Flats,46.93193,-105.4729,Prairie,US,MT,26,7,Jul
334,Other Human Cause,2021/07/09 23:57:00+00,2021/07/12 18:00:00+00,BONNIE,43.52594,-116.0999,Ada,US,ID,3,7,Jul
4,Lightning,2021/06/23 00:16:00+00,2021/06/30 00:00:00+00,Creek 2,64.90492,-156.7092,Yukon-Koyukuk,US,AK,7,6,Jun
4,Lightning,2021/06/23 02:03:00+00,2021/06/30 00:35:00+00,Niglaktak Lake,66.62126,-159.9736,Northwest Arctic,US,AK,7,6,Jun
1,Lightning,2021/06/22 23:39:00+00,2021/06/30 00:00:00+00,Creek,64.88328,-156.2829,Yukon-Koyukuk,US,AK,7,6,Jun
13,Lightning,2021/06/22 20:23:00+00,2021/07/13 15:59:59+00,American River,65.49023,-165.6712,Nome,US,AK,21,6,Jun
